rank,feature,p_donor,q_hat_recipient_center,q_hat_recipient/p_donor
140,sgRNA0611,0.000634130759367,0.0001208599331264,0.1905915007924303
141,sgRNA0702,0.0005288808408872,0.0001036299764402,0.19594201269677353
142,sgRNA0323,0.0004615208930601,9.070569520062232e-05,0.19653648743657307
143,sgRNA0728,0.001235634043479,0.000248137478509,0.20081793619926044
144,sgRNA0783,0.0008630493320605,0.0001790438142174,0.2074549015523124
145,sgRNA1399,0.0008619968328757,0.0001792035926425,0.20789356272303283
146,sgRNA1345,0.0007451694233631,0.0001593730675926,0.21387494252423456
147,sgRNA0359,0.0006820194722753,0.0001458830032371,0.21389858965524336
148,sgRNA0358,0.0006783357251285,0.0001467218438649,0.21629679586329595
149,sgRNA0282,0.0009477755164367,0.0002113858829423,0.2230337028931028
150,sgRNA0816,0.000733065682738,0.0001641449479353,0.22391574425120908
151,sgRNA0487,0.0006599169893945,0.0001488357215407,0.2255370356160442
152,sgRNA0475,0.000915148041708,0.0002071496585048,0.22635644624030796
153,sgRNA0587,0.0005809795505347,0.00013185787883,0.22695786574354573
154,sgRNA0001,0.0006804407234981,0.0001547422107877,0.22741468204927637
155,sgRNA1051,0.0005609820660235,0.0001292620050955,0.2304209223866438
156,sgRNA0776,0.0004483646532501,0.0001036299764402,0.2311287825411935
157,sgRNA0049,0.0007993731313802,0.0001876235387357,0.23471334145513326
158,sgRNA0576,0.0006835982210525,0.0001609679873927,0.23547163002394317
159,sgRNA0254,0.0005099358555608,0.0001203476208681,0.23600541039764336
160,sgRNA0334,0.0008877830629033,0.000210294883374,0.23687643092252364
161,sgRNA0100,0.0004778346304245,0.000114094487604,0.2387740032626778
162,sgRNA0795,0.0007099107006724,0.0001697369368115,0.23909618019665255
163,sgRNA0395,0.0004836233759409,0.0001170093808715,0.24194318697655104
164,sgRNA1394,0.0005478258262135,0.0001353234017383,0.24701902550604002
165,sgRNA0673,0.0007114894494496,0.0001789067630776,0.25145385250055385
166,sgRNA0809,0.0010093467187474,0.0002539019674083,0.25155079289641175
167,sgRNA0819,0.001029870452851,0.0002649540181534,0.25726926859579796
168,sgRNA1396,0.0004415234085489,0.0001139187687907,0.2580129764016423
169,sgRNA1060,0.0005488783253983,0.0001419318618507,0.2585852916449296
170,sgRNA1070,0.0007088582014876,0.0001850969292847,0.26111982466487393
171,sgRNA0372,0.0006946494624928,0.0001822717061131,0.2623937913361435
172,sgRNA1290,0.0004641521410221,0.0001241321890067,0.2674385789395499
173,sgRNA0813,0.0007025432063788,0.0001889961436401,0.26901711086819097
174,sgRNA0535,0.0007341181819228,0.000202314094359,0.27558790851508347
175,sgRNA0775,0.0005715070578715,0.000158541295341,0.27740916434429597
176,sgRNA0803,0.0010761804169821,0.0003000192000998,0.2787815085328673
177,sgRNA0781,0.0006083445293394,0.0001697369368115,0.27901448706346876
178,sgRNA0545,0.0006267632650734,0.0001774049812146,0.2830494240817132
179,sgRNA1343,0.0008751530726857,0.0002491749395052,0.2847215501860987
180,sgRNA0480,0.0009630367546163,0.0002767002455851,0.2873205454088249
181,sgRNA1019,0.0005694020595019,0.0001651382256227,0.2900204220672457
